sistema,num_cicloestacion,nombre,calle_principal,calle_secundaria,colonia,alcaldia,latitud,longitud,tipo_ce,candados
ECOBICI,386,Poussin - Donatello,Poussin,Donatello,Insurgentes Mixcoac,BENITO JUAREZ,19.374912,-99.185807,3G,36
ECOBICI,387,Cádiz - Empresa,Cádiz,Empresa,Insurgentes Mixcoac,BENITO JUAREZ,19.374267,-99.180546,3G,18
ECOBICI,388,Valencia - Málaga,Valencia,Málaga,Insurgentes Mixcoac,BENITO JUAREZ,19.373078,-99.181416,3G,21
ECOBICI,389,Santander - Félix Cuevas,Santander,Félix Cuevas,Insurgentes Mixcoac,BENITO JUAREZ,19.373438,-99.179531,3G,36
ECOBICI,390,Oso - Félix Cuevas,Oso,Félix Cuevas,Actipan,BENITO JUAREZ,19.373384,-99.178173,4G,36
ECOBICI,391,Oso - Félix Cuevas,Oso,Félix Cuevas,Actipan,BENITO JUAREZ,19.373161,-99.178243,Multimedial,21
ECOBICI,392,Patricio Sanz - Félix Cuevas,Patricio Sanz,Félix Cuevas,Tlacoquemécatl del Valle,BENITO JUAREZ,19.373004,-99.174764,3G,21
ECOBICI,393,Adolfo Prieto - Félix Cuevas,Adolfo Prieto,Félix Cuevas,Tlacoquemécatl del Valle,BENITO JUAREZ,19.373307,-99.172471,4G,36
ECOBICI,394,Dr. Roberto Gayol - Félix Cuevas,Dr. Roberto Gayol,Félix Cuevas,Del Valle Sur,BENITO JUAREZ,19.372474,-99.171639,3G,36
ECOBICI,395,San Lorenzo - Martín Mendalde,San Lorenzo,Martín Mendalde,Del Valle Sur,BENITO JUAREZ,19.373725,-99.169807,3G,30
ECOBICI,396,Martín Mendalde - Félix Cuevas,Martín Mendalde,Félix Cuevas,Del Valle Sur,BENITO JUAREZ,19.37165,-99.17015,3G,21
ECOBICI,397,San Lorenzo - Gabriel Mancera,San Lorenzo,Gabriel Mancera,Del Valle Sur,BENITO JUAREZ,19.373112,-99.166981,3G,30
ECOBICI,398,Juan Sánchez Azcona - Félix Cuevas,Juan Sánchez Azcona,Félix Cuevas,Del Valle Sur,BENITO JUAREZ,19.37104,-99.165653,3G,27
ECOBICI,399,Heriberto Frías - San Lorenzo,Heriberto Frías,San Lorenzo,Del Valle Sur,BENITO JUAREZ,19.372469,-99.164538,3G,36
ECOBICI,400,San Lorenzo - Heriberto Frías,San Lorenzo,Heriberto Frías,Del Valle Sur,BENITO JUAREZ,19.372591,-99.164166,3G,30
ECOBICI,401,San Lorenzo - Avenida Cuauhtémoc,San Lorenzo,Avenida Cuauhtémoc,Santa Cruz Atoyac,BENITO JUAREZ,19.372101,-99.161501,3G,33
ECOBICI,402,Uxmal - Municipio Libre,Uxmal,Municipio Libre,Santa Cruz Atoyac,BENITO JUAREZ,19.370957,-99.158886,3G,30
ECOBICI,403,Uxmal - Municipio Libre,Uxmal,Municipio Libre,Santa Cruz Atoyac,BENITO JUAREZ,19.371267,-99.158657,3G,30
ECOBICI,404,Miguel Laurent - Avenida División del Norte,Miguel Laurent,Avenida División del Norte,Portales Norte,BENITO JUAREZ,19.373833,-99.157433,3G,30
ECOBICI,405,División del Norte - Municipio Libre,División del Norte,Municipio Libre,Portales Norte,BENITO JUAREZ,19.370558,-99.156649,4G,30
ECOBICI,406,Parroquia - Avenida México Coyoacán,Parroquia,Avenida México Coyoacán,Santa Cruz Atoyac,BENITO JUAREZ,19.367895,-99.16332,3G,21
ECOBICI,407,Prolongación Xochicalco - General Emiliano Zapata,Prolongación Xochicalco,General Emiliano Zapata,Residencial Emperadores,BENITO JUAREZ,19.367209,-99.15872,3G,21
ECOBICI,408,Prolongación Petén - General Emiliano Zapata,Prolongación Petén,General Emiliano Zapata,Residencial Emperadores,BENITO JUAREZ,19.366673,-99.156839,3G,27
ECOBICI,409,Azores - División del Norte,Azores,División del Norte,Santa Cruz Atoyac,BENITO JUAREZ,19.365125,-99.155477,3G,24
ECOBICI,410,Prolongación Tajín - Prolongación Repúblicas,Prolongación Tajín,Prolongación Repúblicas,Santa Cruz Atoyac,BENITO JUAREZ,19.365499,-99.158087,3G,24
ECOBICI,411,Parroquia - Avenida México-Coyoacán,Parroquia,Avenida México-Coyoacán,Santa Cruz Atoyac,BENITO JUAREZ,19.368038,-99.164065,3G,36
ECOBICI,412,Parroquia - Avenida Universidad,Parroquia,Avenida Universidad,Santa Cruz Atoyac,BENITO JUAREZ,19.368107,-99.164376,4G,36
ECOBICI,413,Parroquia - Avenida Coyoacán,Parroquia,Avenida Coyoacán,Centro Urbano Presidente Alemán,BENITO JUAREZ,19.369823,-99.172164,3G,36
ECOBICI,414,Parroquia - José Ignacio Bartolache,Parroquia,José Ignacio Bartolache,Del Valle Sur,BENITO JUAREZ,19.370221,-99.173862,3G,30
ECOBICI,415,San Francisco - Parroquia,San Francisco,Parroquia,Actipan,BENITO JUAREZ,19.37099,-99.176135,3G,30
ECOBICI,416,Recreo - Parroquia,Recreo,Parroquia,Del Valle Sur,BENITO JUAREZ,19.371279,-99.177623,3G,30
ECOBICI,417,Goya - Augusto Rodin,Goya,Augusto Rodin,Insurgentes Mixcoac,BENITO JUAREZ,19.373198,-99.184274,4G,30
ECOBICI,418,Galicia - Actipan,Galicia,Actipan,Insurgentes Mixcoac,BENITO JUAREZ,19.371233,-99.182936,3G,36
ECOBICI,419,Actipan - Cádiz,Actipan,Cádiz,Insurgentes Mixcoac,BENITO JUAREZ,19.370615,-99.181606,3G,30
ECOBICI,420,María Luz Bringas - Oso,María Luz Bringas,Oso,Actipan,BENITO JUAREZ,19.369782,-99.179707,3G,27
ECOBICI,421,María Luz Bringas - Oso,María Luz Bringas,Oso,Actipan,BENITO JUAREZ,19.36952,-99.179421,3G,30
ECOBICI,422,Búfalo - José María Rico (Eje 8),Búfalo,José María Rico (Eje 8),Actipan,BENITO JUAREZ,19.368403,-99.177472,3G,21
ECOBICI,423,Moras - José María Rico (Eje 8),Moras,José María Rico (Eje 8),Acacias,BENITO JUAREZ,19.367816,-99.175269,3G,24
ECOBICI,424,Amores - José María Rico (Eje 8),Amores,José María Rico (Eje 8),Del Valle Sur,BENITO JUAREZ,19.36715,-99.17055,3G,15
ECOBICI,425,Nicolás San Juan - Avenida Universidad,Nicolás San Juan,Avenida Universidad,Del Valle Sur,BENITO JUAREZ,19.36704,-99.167387,3G,36
ECOBICI,426,Mayorazgo de Solís - Av. Popocatépetl (Eje 8),Mayorazgo de Solís,Av. Popocatépetl (Eje 8),Xoco,BENITO JUAREZ,19.365648,-99.165943,3G,36
ECOBICI,427,Avenida México-Coyoacán - Av. Popocatépetl (Eje 8),Avenida México-Coyoacán,Av. Popocatépetl (Eje 8),Santa Cruz Atoyac,BENITO JUAREZ,19.364912,-99.162968,3G,21
ECOBICI,428,Prolongación Uxmal - Av. Popocatépetl (Eje 8),Prolongación Uxmal,Av. Popocatépetl (Eje 8),General Pedro María Anaya,BENITO JUAREZ,19.363404,-99.160395,3G,27
ECOBICI,429,Pirineos - Av. Popocatépetl (Eje 8),Pirineos,Av. Popocatépetl (Eje 8),Santa Cruz Atoyac,BENITO JUAREZ,19.363049,-99.158436,3G,21
ECOBICI,430,Trípoli - Av. Popocatépetl (Eje 8),Trípoli,Av. Popocatépetl (Eje 8),Santa Cruz Atoyac,BENITO JUAREZ,19.36205,-99.154976,3G,30
ECOBICI,431,Bruno Traven - Paz Montes de Oca,Bruno Traven,Paz Montes de Oca,General Pedro María Anaya,BENITO JUAREZ,19.361426,-99.158317,3G,21
ECOBICI,432,Carrillo Puerto - Avenida México-Coyoacán,Carrillo Puerto,Avenida México-Coyoacán,General Pedro María Anaya,BENITO JUAREZ,19.361245,-99.16239,3G,36
ECOBICI,433,José María Olloqui - López Cotilla,José María Olloqui,López Cotilla,Del Valle Sur,BENITO JUAREZ,19.363548,-99.170766,3G,21
ECOBICI,434,José María Olloqui - Amores,José María Olloqui,Amores,Del Valle Sur,BENITO JUAREZ,19.363741,-99.171268,Multimedial,24
ECOBICI,435,Rodríguez Saro - Avenida Coyoacán,Rodríguez Saro,Avenida Coyoacán,Del Valle Sur,BENITO JUAREZ,19.36497,-99.172069,3G,36
ECOBICI,436,Rodríguez Saro - Búfalo,Rodríguez Saro,Búfalo,Actipan,BENITO JUAREZ,19.36623,-99.177904,3G,30
ECOBICI,437,Moras - Comunal,Moras,Comunal,Acacias,BENITO JUAREZ,19.364916,-99.175985,3G,21
ECOBICI,438,Adolfo Prieto - José María Olloqui,Adolfo Prieto,José María Olloqui,Acacias,BENITO JUAREZ,19.36473,-99.174447,3G,24
ECOBICI,439,Amores - Avenida Coyoacán,Amores,Avenida Coyoacán,Acacias,BENITO JUAREZ,19.362037,-99.172683,3G,18
ECOBICI,440,Real de Mayorazgo - Puente Xoco,Real de Mayorazgo,Puente Xoco,Xoco,BENITO JUAREZ,19.360706,-99.168749,3G,36
ECOBICI,441,Puente Xoco - Real de Mayorazgo,Puente Xoco,Real de Mayorazgo,Xoco,BENITO JUAREZ,19.361213,-99.16752,3G,36
ECOBICI,442,Real de Mayorazgo - Avenida México-Coyoacán,Real de Mayorazgo,Avenida México-Coyoacán,Xoco,BENITO JUAREZ,19.359863,-99.165065,4G,24
ECOBICI,443,Bruno Traven - Golondrinas,Bruno Traven,Golondrinas,General Pedro María Anaya,BENITO JUAREZ,19.359583,-99.162085,3G,30
