id,punto_lev,id_unico,folio,calle_lev,calle_1,calle_2,resul,f1,p1,munori,p2_col,p2_ref1,p2_ref2,p3,mundes,p4_col,p4_ref1,p4_ref2,p5,p6,p7_hr,p7_min,p8_hr,p8_min,p9,p9_1,p10,p11,p11_1,p12,p13,p14_1,p14_2,p14_3,p14_4,p15,p16_1,p16_2,p16_3,p16_4,p16_5,p16_6,p16_7,p16_8,p17,p17_1,p17_2,p17_3,p18,p19,p20,p21_nivel,nivel,p21_ano,p22,p23,p23_1,p24,p24_1,p25,p26_1,p26_2,p26_3,p26_4,p26_5,p26_6,p26_7,p26_8,p27,factor
947,140,2189,11,SAN LUIS CABRERA,AV PROLONGACION LAS TORRES,,1,38,1,9008,MALINCHE,,,7,9008,,,,2,6,11,50,13,10,2,0.0,,2,0.0,,1.0,1,2,1,1,5,2,2,2,2,2,2,1,2,2,,,,2,,1,4,3,3,60,999999,9,1,2,1,2,2,1,2,2,2,2,1,3,12.2
948,141,2205,9,CAMINO DE SANTA TERESA,AV. MEXICO,,1,41,1,9003,SANTO DOMINGO,CERCA METRO UNIVERSIDAD,,2,9008,SAN FRANCISCO,CERCA DEL PANTEON,,5,1,17,0,17,45,2,0.0,,2,0.0,,1.0,1,1,9,9,7,1,2,2,1,2,2,2,2,1,1.0,3.0,2.0,1,1.0,1,5,3,1,100,4200,3,1,2,1,2,2,2,2,2,2,2,2,3,19.9
949,141,2213,17,CAMINO DE SANTA TERESA,AV. MEXICO,,1,54,2,9010,JARDINES DE PEDREGAL,IGLESIA,,1,9008,ZACATECAS,,,5,2,19,30,20,8,1,1.0,3.0,2,0.0,,2.0,9,1,9,9,1,2,2,2,2,2,2,2,2,2,,,,1,1.0,1,3,2,6,80,999999,9,6,2,2,1,2,2,2,2,2,2,2,3,19.9
950,145,2253,1,FELIPE CARRILLO PUERTO ESQUINA MARINA NACIONAL,CARRILLO PUERTO,MARINA NACIONAL,1,72,2,9016,ANAHUAC,,,4,9016,ANAHUAC,,,2,4,9,55,10,30,2,0.0,,2,0.0,,1.0,1,1,4,8,1,2,2,2,2,1,1,2,2,2,,,,2,,1,3,1,3,50,999999,3,1,2,1,2,2,2,2,2,2,2,2,3,36.04
951,145,2258,6,CARRILLO PUERTO MARINA NACIONAL,,,1,58,2,9016,ANAHUAC,,,7,9017,CALLE PACITO POPOTLA,,,5,4,11,0,12,40,2,0.0,,2,0.0,,1.0,4,2,8,1,1,1,1,2,1,1,1,1,2,2,,,,2,,1,8,5,5,100,999999,9,1,2,1,2,2,2,2,2,2,2,1,3,36.04
952,146,2271,3,MARINA NACIONAL,LAGUNA DE SAN CRISTOBAL,AV. MARINA NACIONAL,1,23,1,9016,ANAHUAC,SALECIANO,,2,9016,ARGENTINA,ESC. SEC. 92,,2,1,8,30,9,15,1,1.0,2.0,2,0.0,,8.0,3,1,2,4,6,2,1,2,1,1,1,1,1,2,,,,2,,1,7,4,3,50,999999,3,1,2,1,2,2,2,2,2,2,2,1,4,111.63
953,146,2282,15,MARINA NACIONAL,LAGUNA DE SAN CRISTOBAL,LAGUNA DE TERMINOS,1,23,1,9016,ANAHUAC,EXPENDIO DE AGUA,,2,9016,ANZUREZ,OXXO RECONSTRUCCION,,3,1,16,20,17,0,1,2.0,4.0,2,0.0,,1.0,2,1,2,4,10,2,2,2,2,2,1,2,2,2,,,,1,2.0,1,4,3,3,70,2500,2,1,2,4,2,2,2,2,2,2,2,2,6,111.63
954,150,2309,4,SIERRA TARAUMARA,PASEO DE LA REFORMA,,1,33,1,9016,ANAHUAC,,,2,9016,MIGUEL HIDALGO 3RA SECCION,,,1,6,16,10,16,50,2,0.0,,2,0.0,,2.0,1,1,2,2,1,1,2,2,2,1,2,1,2,1,2.0,4.0,2.0,1,1.0,1,8,5,5,200,8000,4,1,2,4,2,2,2,2,2,2,2,2,4,15.18
955,157,2350,2,AV EJERCITO NACIONAL,LAGO VICTORIA,ARISTOTELES,1,24,1,15057,CONCHITA,TIENDA EN LA ESQUINA,,2,9016,POLANCO,EJERCITO,,3,1,6,30,8,20,2,0.0,,2,0.0,,2.0,3,8,8,1,1,2,2,2,2,1,2,2,1,2,,,,2,,1,5,4,3,400,4000,3,1,2,4,2,2,1,2,2,2,2,2,4,42.39
956,157,2363,15,AV EJERCITO NACIONAL,LAGO VICTORIA,EUGENIO SEU,1,43,2,9016,LOMAS DE SOTELO,SEDENA,EJECITO NACIONAL Y PERIFERICO,1,9016,ANAHUAC,MERCADO DE LAGO GORDA,,5,7,12,10,13,15,2,0.0,,2,0.0,,2.0,3,4,8,3,1,2,1,2,2,1,1,2,2,1,1.0,3.0,2.0,1,1.0,1,5,4,3,100,999999,4,1,1,4,2,2,1,2,2,2,2,2,4,42.39
957,157,2375,27,AV EJERCITO NACIONAL,EUGENIO SEU,ARISTOTELES,1,25,2,9016,POLANCO,HOSPITAL ESPAÐOL,SORIANA POLANCO,1,9002,SANTA LUCIA,MERCADO SANTA LUCIA,,1,2,18,0,19,10,2,0.0,,2,0.0,,2.0,2,1,2,1,7,2,2,2,2,2,2,2,2,2,,,,2,,1,5,4,3,80,999999,4,3,2,4,1,2,1,2,2,2,2,2,4,42.39
958,158,2386,8,SCHILLER,MASARICK,C. ELISEOS,1,27,2,9016,POLANCO,,,7,9016,PALMAS,,,5,8,15,0,16,0,1,3.0,1.0,2,0.0,,1.0,4,3,4,4,7,2,2,1,2,1,2,2,2,2,,,,1,1.0,1,5,4,3,500,999999,9,1,2,1,1,2,2,2,2,2,2,2,4,99.05
